Timestamp,Zone1_Temp_C,Zone2_Temp_C,Zone3_Temp_C,Humidity_Pct,Belt_Speed_m_min,Gas_Flow_m3_h,Dough_Inlet_Moisture_Pct,Product_Load_kg_min,Exhaust_Damper_Pct,Heat_Recovery_Eff_Pct,Moisture_Content_Pct,Browning_Index_BI,OEE_Pct,RUL_Burner_Hours,Defect_Flag
2026-09-01 08:00:00,157.21,212.3,182.35,37.14,12.05,33.83,41.71,30.32,67.56,67.99,4.99,51.3,94.62,1988.98,0
2026-09-01 08:00:01,158.42,213.22,176.24,38.71,11.99,32.98,41.93,29.22,54.9,67.86,5.17,47.2,0.0,1999.58,1
2026-09-01 08:00:02,157.64,211.5,179.34,39.38,12.06,32.78,42.13,30.69,53.44,74.28,5.09,48.64,95.49,1998.09,0
2026-09-01 08:00:03,158.63,204.17,179.92,42.83,12.15,32.25,43.89,29.41,52.39,75.59,5.41,48.55,96.71,1985.12,0
2026-09-01 08:00:04,159.46,209.53,180.03,40.83,11.98,33.05,40.51,30.75,56.88,67.21,4.94,48.76,98.65,2000.0,0
2026-09-01 08:00:05,162.09,206.53,180.36,38.0,11.98,33.04,40.31,29.73,56.93,67.99,4.71,49.37,94.36,1988.19,0
2026-09-01 08:00:06,159.2,209.39,181.22,40.73,12.16,32.46,44.47,28.28,59.75,73.43,5.47,48.99,98.93,1981.39,0
2026-09-01 08:00:07,156.04,212.94,179.93,37.68,12.08,32.82,41.07,29.02,50.37,71.6,4.91,48.36,97.52,1995.38,0
2026-09-01 08:00:08,162.85,210.92,179.26,41.62,11.95,32.52,39.47,29.57,53.44,72.03,4.59,48.6,96.2,2000.0,0
2026-09-01 08:00:09,157.91,213.44,179.18,39.29,12.05,33.42,41.03,31.37,65.15,72.69,5.05,48.94,98.29,1980.72,0
2026-09-01 08:00:10,159.85,211.03,178.78,39.86,11.95,32.36,41.34,30.9,56.12,69.28,4.89,48.16,94.95,1999.98,0
2026-09-01 08:00:11,161.12,206.11,181.58,41.99,11.95,32.43,45.11,31.62,54.14,70.99,5.33,49.31,95.4,1990.24,0
2026-09-01 08:00:12,160.5,202.44,178.71,38.07,12.02,32.34,43.85,31.65,50.29,70.76,5.48,47.72,0.0,1992.35,1
2026-09-01 08:00:13,162.74,210.45,181.69,37.9,11.81,32.77,44.3,29.47,57.53,67.42,4.84,50.45,90.95,1998.59,0
2026-09-01 08:00:14,161.2,209.36,180.04,39.12,11.83,31.63,43.64,29.81,60.16,70.95,4.93,49.71,94.77,2000.0,0
2026-09-01 08:00:15,157.85,207.07,187.29,41.56,11.94,31.79,43.89,29.59,59.37,73.71,5.16,54.0,98.12,1998.81,0
2026-09-01 08:00:16,165.45,204.9,189.23,37.72,11.9,32.86,40.62,29.33,53.71,69.0,4.3,54.6,93.13,2000.0,0
